data,value
11401644, 70.5
3483072, 18.76923076923077
6747137, 58.0
11868833, 5.333333333333333
5125452, 4.1466666666666665
2114966, 3.4545454545454546
6393419, 11.25
10660257, 2.026315789473684
5191142, 197.0
4544464, 3.9444444444444446
7445542, 3.0714285714285716
7555597, 5.333333333333333
4187471, 48.76136363636363
8857356, 68.0
3717199, 11.6875
5573109, 5.166666666666667
3870591, 7.653846153846154
2187929, 1.6
6241469, 93.0
10893427, 6.666666666666667
2698971, 20.0
10891488, 124.66666666666667
2820114, 18.0
6113267, 8.666666666666666
9442841, 4.0
5178775, 4.6
8714663, 1.9515151515151514
12324559, 132.57142857142858
12950127, 2.6666666666666665
12492738, 5.0
8335658, 276.6666666666667
4655359, 9.333333333333334
10516575, 2.6
12723820, 65.0
9544672, 71.97345132743362
12615316, 3.3958333333333335
12795852, 21.692307692307693
11640863, 213.0
3851180, 5.0
13587375, 6.75
6869906, 5.25531914893617
1163772, 1.0526315789473684
3999772, 16.5703125
4850768, 7.5
4779863, 10.4375
12332607, 4.032258064516129
8986419, 12.0
11413525, 65.42857142857143
5970676, 11.239785666443403
11404383, 29.333333333333332
4525507, 5.5
8106140, 45.07142857142857
12076221, 1.3636363636363635
13596195, 4.0
5825572, 5.0
10731356, 50.0
7315289, 12.5
778537, 4.926829268292683
2983896, 6.833333333333333
3296294, 44.81818181818182
